contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
contradiction || two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback. || some girls playing basketball.
contradiction || two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback. || a college football game.
neutral || two people are playing american football and one of them is trying to stop the other from throwing the ball. || a lineman is trying to tackle the quarterback before he makes the game winning touchdown.
neutral || two people are playing american football and one of them is trying to stop the other from throwing the ball. || a pitcher throws the baseball to the batter as he attempts to hit it out of the park.
entailment || two people are playing american football and one of them is trying to stop the other from throwing the ball. || a game of football is being played.
neutral || a man playing billiards at a bar. || a man is playing with friends.
entailment || a man playing billiards at a bar. || a man is playing billiards.
contradiction || a man playing billiards at a bar. || a man is playing checkers.
neutral || a golden dog passes a blue ball to another golden dog on the beach. || the dogs are friends.
contradiction || a golden dog passes a blue ball to another golden dog on the beach. || the dogs are refusing to share.
entailment || a golden dog passes a blue ball to another golden dog on the beach. || the golden dog is playing ball with another dog outside.
entailment || people are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall. || the people are going up on the escalator.
contradiction || people are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall. || people are taking the elevator.
